city,facility_type,n_observed,n_simulated_per_rep,observed_heat_share,observed_flood_share,observed_water_share,observed_compound_share,counterfactual_compound_mean,counterfactual_compound_p05,counterfactual_compound_p95,observed_minus_counterfactual,counterfactual_class,above_p95,below_p05
Shanghai,health,341,341,0.9501466275659824,0.5806451612903226,0.9530791788856304,0.9941348973607038,0.9377712609970676,0.9120234604105572,0.9618768328445748,0.0563636363636362,siting_amplification,True,False
Shanghai,school,305,305,0.9442622950819672,0.6622950819672131,0.9442622950819672,0.9901639344262296,0.9369180327868852,0.911311475409836,0.9573770491803278,0.0532459016393442,siting_amplification,True,False
Rome,health,6181,5000,0.8333602976864585,0.0859084290567869,1.0,0.840478886911503,0.78864,0.7803599999999999,0.7960200000000001,0.0518388869115029,siting_amplification,True,False
Karachi,school,2572,2572,0.9183514774494556,0.041213063763608,0.9626749611197511,0.9210730948678072,0.8706259720062209,0.8600311041990669,0.8822706065318818,0.0504471228615862,siting_amplification,True,False
Rome,school,2986,2986,0.7957133288680509,0.124246483590087,1.0,0.8154722036168788,0.7887106496985935,0.774614869390489,0.7994139316811788,0.0267615539182852,siting_amplification,True,False
Karachi,health,1769,1769,0.8654607122668174,0.0553985302430751,0.9773883550028264,0.8908988128886377,0.8702939513849635,0.8586489542114188,0.8824759751271904,0.0206048615036742,siting_amplification,True,False
Houston,health,18210,5000,0.5190005491488193,0.1989017023613399,0.0,0.1052169137836353,0.086484,0.0798,0.0934,0.0187329137836353,siting_amplification,True,False
Bangkok,school,8528,5000,0.8490853658536586,0.6281660412757973,1.0,0.964939024390244,0.958084,0.95339,0.96284,0.0068550243902439,siting_amplification,True,False
Miami,health,9433,5000,0.0,0.0545955687480122,0.2237888264602989,0.0356196332025866,0.031318,0.02679,0.03501,0.0043016332025866,siting_amplification,True,False
Manila,health,18365,5000,0.8476994282602777,0.211707051456575,0.0,0.1782194391505581,0.176406,0.1671899999999999,0.18509,0.001813439150558,population_like,False,False
Delhi,health,19986,5000,1.0,0.1924847393175222,1.0,1.0,1.0,1.0,1.0,0.0,diffuse_high_risk,False,False
Sao Paulo,health,36921,5000,0.0,0.0160613201159231,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Delhi,school,14319,5000,1.0,0.2732034359941336,1.0,1.0,1.0,1.0,1.0,0.0,diffuse_high_risk,False,False
Buenos Aires,health,8455,5000,0.0,0.1143701951507983,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Buenos Aires,school,7461,5000,0.0,0.1814770138051199,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Bogota,health,6016,5000,0.0,0.0108045212765957,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Accra,health,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Accra,school,1093,1093,0.0,0.0073193046660567,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Madrid,health,8573,5000,1.0,0.0009331622535868,1.0,1.0,1.0,1.0,1.0,0.0,diffuse_high_risk,False,False
Madrid,school,4763,4763,1.0,0.001889565399958,1.0,1.0,1.0,1.0,1.0,0.0,diffuse_high_risk,False,False
Paris,health,8426,5000,0.0,0.0871113220982672,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Cairo,health,13119,5000,1.0,0.0897172040551871,1.0,1.0,1.0,1.0,1.0,0.0,diffuse_high_risk,False,False
Paris,school,7355,5000,0.0,0.1023793337865397,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Sao Paulo,school,17716,5000,0.0,0.0212237525400767,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Dhaka,health,4485,4485,1.0,0.2073578595317725,1.0,1.0,1.0,1.0,1.0,0.0,diffuse_high_risk,False,False
Dhaka,school,4469,4469,1.0,0.3023047661669277,1.0,1.0,1.0,1.0,1.0,0.0,diffuse_high_risk,False,False
Nairobi,school,1757,1757,0.0,0.0011383039271485,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Nairobi,health,1716,1716,0.0,0.0005827505827505,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Bogota,school,4156,4156,0.0,0.0204523580365736,0.0,0.0,0.0,0.0,0.0,0.0,threshold_limited_no_signal,False,False
Cairo,school,4793,4793,1.0,0.1151679532651783,1.0,1.0,1.0,1.0,1.0,0.0,diffuse_high_risk,False,False
Johannesburg,school,9580,5000,0.0,0.0,1.0,0.0,0.000212,0.0,0.0006,-0.000212,population_like,False,False
Johannesburg,health,4529,4529,0.0,0.0,1.0,0.0,0.0002296312651799,0.0,0.0006623978803267,-0.0002296312651799,population_like,False,False
Rotterdam,school,2339,2339,0.0,0.5352714835399743,0.002992731936725,0.002992731936725,0.0039504061564771,0.0017101325352714,0.0064343736639589,-0.000957674219752,population_like,False,False
Rotterdam,health,2882,2882,0.0,0.4805690492713393,0.0024288688410825,0.0024288688410825,0.0037855655794587,0.0024115197779319,0.0059160305343511,-0.0013566967383761,population_like,False,False
Bangkok,health,17751,5000,0.8723452199876063,0.4890992056785533,1.0,0.95622781815109,0.958082,0.9534,0.96241,-0.0018541818489099,diffuse_high_risk,False,False
