subset,heat_days_threshold,water_cat_threshold,n_groups,mean_compound_share,median_compound_share,max_compound_share
all_classes,1,3,60,0.4378740732011922,0.2478397088401028,1.0
all_classes,1,4,60,0.3619771782835377,0.17394761512954035,1.0
all_classes,1,5,60,0.11888630977425142,0.06738769469061495,0.6491803278688525
all_classes,10,3,60,0.34682361677918055,0.14299419898841081,1.0
all_classes,10,4,60,0.30649455046858287,0.10661942410795255,1.0
all_classes,10,5,60,0.09545676239348343,0.017033021617330397,0.6360655737704918
all_classes,20,3,60,0.3023327117431,0.062195014862910854,1.0
all_classes,20,4,60,0.278160672699719,0.030973419144285003,1.0
all_classes,20,5,60,0.08237306503329721,0.0,0.6131147540983607
all_classes,30,3,60,0.2888440139286279,0.0460279056428312,1.0
all_classes,30,4,60,0.26456268526776056,0.018421036127019848,1.0
all_classes,30,5,60,0.07399127845857692,0.0,0.512312382739212
all_classes,40,3,60,0.20504640042283961,0.03341957269885425,1.0
all_classes,40,4,60,0.18320171936431354,0.006815289499460701,1.0
all_classes,40,5,60,0.04271334460549677,0.0,0.4486397748592871
school_all_health_core,1,3,60,0.43777784381079604,0.2478397088401028,1.0
school_all_health_core,1,4,60,0.3616121170893557,0.17117126650562114,1.0
school_all_health_core,1,5,60,0.11821628513924895,0.0684682663103238,0.6491803278688525
school_all_health_core,10,3,60,0.34636902504336137,0.14046782143758446,1.0
school_all_health_core,10,4,60,0.30569344032105583,0.10528272011546455,1.0
school_all_health_core,10,5,60,0.0944895107751493,0.0154642238490814,0.6360655737704918
school_all_health_core,20,3,60,0.30197459733787063,0.0593610987176032,1.0
school_all_health_core,20,4,60,0.2774904989419381,0.030548150523784554,1.0
school_all_health_core,20,5,60,0.08141322298712945,0.0,0.6131147540983607
school_all_health_core,30,3,60,0.2888077157197975,0.046595312437005695,1.0
school_all_health_core,30,4,60,0.26421432770637865,0.0187796687437769,1.0
school_all_health_core,30,5,60,0.07312783694768239,0.0,0.512312382739212
school_all_health_core,40,3,60,0.20412524862303752,0.038278217155886696,1.0
school_all_health_core,40,4,60,0.1819621392668305,0.0062314831732517995,1.0
school_all_health_core,40,5,60,0.04250711067997439,0.0,0.4486397748592871
source_confidence_ge_0p6,1,3,60,0.43875484297457634,0.25464760054704666,1.0
source_confidence_ge_0p6,1,4,60,0.36315412447455875,0.17670797136400673,1.0
source_confidence_ge_0p6,1,5,60,0.12081818140368884,0.0665509512007558,0.6593406593406593
source_confidence_ge_0p6,10,3,60,0.34739996165102627,0.14233579031585955,1.0
source_confidence_ge_0p6,10,4,60,0.307094885158184,0.10823234909499074,1.0
source_confidence_ge_0p6,10,5,60,0.09695546059265991,0.01751320505564985,0.6446886446886447
source_confidence_ge_0p6,20,3,60,0.30296336144922337,0.06433762004067865,1.0
source_confidence_ge_0p6,20,4,60,0.27867807375361264,0.029892450734331298,1.0
source_confidence_ge_0p6,20,5,60,0.08359965498502378,0.0,0.6190476190476191
source_confidence_ge_0p6,30,3,60,0.2895223490958328,0.04688501345418905,1.0
source_confidence_ge_0p6,30,4,60,0.26511496127812195,0.0195802234042032,1.0
source_confidence_ge_0p6,30,5,60,0.0753970967449812,0.0,0.5138474648487431
source_confidence_ge_0p6,40,3,60,0.2064047472500093,0.0353504488432485,1.0
source_confidence_ge_0p6,40,4,60,0.18451138189652203,0.0068224349807126,1.0
source_confidence_ge_0p6,40,5,60,0.043326355686895426,0.0,0.4487998863797756
