city,country_iso3,income_group,facility_type,n_facilities,heat_share,flood_share_jrc_ge015,flood_share_jrc_gt0,flood_share_jrc_ge05,water_stress_share,compound_share_jrc_ge015,median_service_pop_5km,median_flood_depth_m,max_flood_depth_m
Accra,GHA,Lower-middle income,health,650,0.0,0.0,0.0,0.0,0.0,0.0,742719.4674081802,,
Accra,GHA,Lower-middle income,school,1093,0.0,0.007319304666056725,0.007319304666056725,0.006404391582799634,0.0,0.0,638794.2375488281,1.809499979019165,4.064000129699707
Bangkok,THA,Upper-middle income,health,17751,0.8723452199876063,0.48752182975607006,0.50211255703904,0.3671905808123486,1.0,0.9502563235874035,975839.3912353516,0.8690000176429749,7.052000045776367
Bangkok,THA,Upper-middle income,school,8528,0.8490853658536586,0.6198405253283302,0.6347326454033771,0.4897983114446529,1.0,0.9584896810506567,853513.157043457,0.9929999709129333,7.304999828338623
Bogota,COL,Upper-middle income,health,6016,0.0,0.00997340425531915,0.010305851063829786,0.008809840425531915,0.0,0.0,1400609.3957529068,1.5010000467300415,8.112000465393066
Bogota,COL,Upper-middle income,school,4156,0.0,0.02021174205967276,0.02045235803657363,0.015640038498556306,0.0,0.0,1347866.7209565402,1.2009999752044678,6.801000118255615
Buenos Aires,ARG,Upper-middle income,health,8455,0.0,0.10963926670609107,0.11105854523950326,0.10384387936132466,0.0,0.0,989396.4934082031,3.134000062942505,11.57800006866455
Buenos Aires,ARG,Upper-middle income,school,7461,0.0,0.17759013537059376,0.17893043827905106,0.1718268328642273,0.0,0.0,799786.8562011719,3.697000026702881,11.678000450134277
Cairo,EGY,Lower-middle income,health,13119,1.0,0.032471987194145895,0.03285311380440582,0.028050918515130727,1.0,1.0,2131097.465789795,1.597000002861023,13.5600004196167
Cairo,EGY,Lower-middle income,school,4793,1.0,0.04694345921134988,0.04736073440433966,0.0413102441059879,1.0,1.0,1683190.526977539,1.465000033378601,8.763999938964844
Delhi,IND,Lower-middle income,health,19986,1.0,0.17212048433903732,0.17767437206044231,0.13154207945561894,1.0,1.0,1423231.088142837,0.878000020980835,7.073999881744385
Delhi,IND,Lower-middle income,school,14319,1.0,0.2528807877645087,0.2598645156784692,0.20162022487603884,1.0,1.0,1235753.866104126,0.984000027179718,6.0329999923706055
Dhaka,BGD,Lower-middle income,health,4485,1.0,0.16633221850613156,0.1705685618729097,0.1527313266443701,1.0,1.0,4158707.554626465,1.8530000448226929,9.395999908447266
Dhaka,BGD,Lower-middle income,school,4469,1.0,0.24099351085253973,0.24502125755202506,0.21615573953904677,1.0,1.0,3651150.860824585,2.0829999446868896,9.307999610900879
Ho Chi Minh City,VNM,Lower-middle income,health,9935,0.8525415198792149,0.1661801711122295,0.1704076497232008,0.1376950176144942,0.010166079516859588,0.14635128334172118,2152768.5355709805,1.2120000123977661,6.2729997634887695
Ho Chi Minh City,VNM,Lower-middle income,school,10476,0.8243604429171439,0.23491790759831996,0.23940435280641467,0.20513554791905309,0.012791141657121039,0.2081901489117984,1523396.3372192383,1.3839999437332153,8.031000137329102
Houston,USA,High income,health,18210,0.5190005491488193,0.19373970345963756,0.19818780889621088,0.1674354750137287,0.0,0.1700164744645799,145097.67395950877,1.4140000343322754,9.329000473022461
Houston,USA,High income,school,5477,0.5705678291035238,0.21325543180573306,0.22055870001825817,0.1743655285740369,0.0,0.18732882965126893,130001.28218865395,1.2770000100135803,8.911999702453613
Istanbul,TUR,Upper-middle income,health,17477,0.0,0.00011443611603822166,0.00011443611603822166,0.00011443611603822166,0.9656691651885335,5.721805801911083e-05,1138381.0086669922,1.0,1.0
Istanbul,TUR,Upper-middle income,school,12292,0.0,0.00016270745200130165,0.00024406117800195249,8.135372600065082e-05,0.929873088187439,8.135372600065082e-05,992272.1119823093,0.4309999942779541,1.0
Jakarta,IDN,Upper-middle income,health,11275,0.0,0.02802660753880266,0.030776053215077606,0.0175609756097561,1.0,0.02802660753880266,1223173.6655273438,0.5690000057220459,6.947000026702881
Jakarta,IDN,Upper-middle income,school,17134,0.0,0.0366522703396755,0.040270806583401424,0.023170304657406326,0.9999416365121979,0.0366522703396755,1165085.9633789062,0.6100000143051147,7.3480000495910645
Johannesburg,ZAF,Unknown,health,4529,0.0,0.0,0.0,0.0,1.0,0.0,226803.15099334717,,
Johannesburg,ZAF,Unknown,school,9580,0.0,0.0,0.0,0.0,1.0,0.0,302792.1460197754,,
Karachi,PAK,Lower-middle income,health,1769,0.8654607122668174,0.04918032786885246,0.04918032786885246,0.04352741661955907,0.9773883550028265,0.8869417750141323,2674460.079498291,1.9550000429153442,5.355000019073486
Karachi,PAK,Lower-middle income,school,2572,0.9183514774494557,0.03382581648522551,0.03382581648522551,0.0291601866251944,0.9626749611197511,0.9187402799377916,2572219.4436216247,2.055000066757202,5.954999923706055
Kolkata,IND,Lower-middle income,health,8410,0.9330558858501784,0.2707491082045184,0.2794292508917955,0.22045184304399523,0.0,0.26979785969084424,1815252.1700439453,0.9160000085830688,7.853000164031982
Kolkata,IND,Lower-middle income,school,7065,0.9082802547770701,0.23779193205944799,0.24911535739561216,0.18329794762915783,0.0,0.23510261854210898,1623992.035949707,0.9120000004768372,6.591000080108643
Lagos,NGA,Lower-middle income,health,1303,0.0030698388334612432,0.06216423637759018,0.06907137375287797,0.043745203376822715,0.7313891020721413,0.052954719877206444,1446503.6458587646,0.9475000202655792,3.3480000495910645
Lagos,NGA,Lower-middle income,school,3101,0.0064495324089003546,0.07029990325701387,0.07416962270235408,0.05933569816188326,0.6027088036117382,0.051596259271202836,1406671.9764785767,1.2459999918937683,5.203999996185303
Lima,PER,Upper-middle income,health,11872,0.0,0.004632749326145553,0.005559299191374663,0.0023584905660377358,0.9999157681940701,0.004632749326145553,994261.392578125,0.408500000834465,1.8530000448226929
