city,country_iso3,income_group,area_id,heat_sensitivity_source,humid_heat_proxy_method,facility_type,n_facilities,tmax_abs35_share_20d,tmax_local_p90_share_20d,tmax_local_p95_share_20d,apparent_abs35_share_20d,apparent_local_p90_share_20d,apparent_local_p95_share_20d,mean_tmax_baseline_p95_c,mean_apparent_baseline_p95_c,mean_apparent_minus_tmax_abs35_days
Dhaka,BGD,Lower-middle income,dhaka,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,health,4485,1.0,1.0,0.8662207357859532,1.0,1.0,0.4385730211817168,35.8664392419175,41.70846822742475,182.11884057971014
Dhaka,BGD,Lower-middle income,dhaka,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,school,4469,1.0,1.0,0.8758111434325352,1.0,1.0,0.4596106511523831,35.87051241888565,41.70747818303871,181.95300962183933
Lagos,NGA,Lower-middle income,lagos,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,health,1303,0.0030698388334612432,0.8112049117421335,0.0,0.8787413660782809,0.8779739063699156,0.6300844205679201,33.802547966231764,38.69393706830392,210.0353031465848
Lagos,NGA,Lower-middle income,lagos,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,school,3101,0.0064495324089003546,0.8252176717188003,0.0,0.9300225733634312,0.9300225733634312,0.6565623992260561,34.0539213157046,38.8941309255079,221.58110287004192
Nairobi,KEN,Lower-middle income,nairobi,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,health,1716,0.0,1.0,0.9994172494172494,0.0,0.9994172494172494,0.0,28.433916083916085,28.984603729603712,0.0
Nairobi,KEN,Lower-middle income,nairobi,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,school,1757,0.0,1.0,0.9994308480364257,0.0,0.9994308480364257,0.0,28.10819578827547,28.59670461013089,0.0
Mexico City,MEX,Upper-middle income,mexico_city,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,health,25048,0.0,1.0,0.15166879591184926,0.0,1.0,0.15518205046311082,28.907964707761096,27.601781778984346,0.0
Mexico City,MEX,Upper-middle income,mexico_city,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,school,14632,0.0,1.0,0.15192728266812466,0.0,1.0,0.16470749043193,28.82677692728267,27.51114270092947,0.0
Jakarta,IDN,Upper-middle income,jakarta,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,health,11275,0.0,0.774279379157428,0.5663858093126386,1.0,0.9796008869179601,0.5663858093126386,33.57419689578714,39.239947671840355,289.1628381374723
Jakarta,IDN,Upper-middle income,jakarta,Open-Meteo Archive,apparent_temperature_max_from_Open-Meteo,school,17134,0.0,0.7129100035018092,0.46644099451383214,1.0,0.9669079024162484,0.46644099451383214,33.799455468658806,39.3812851640014,290.028889926462
