city,n_facilities,weighted_dry_bulb_abs35_share,weighted_apparent_heat_abs35_share,absolute_share_uplift,risk_reclassification,mean_apparent_minus_tmax_abs35_days
Accra,1743,0.0,1.0,1.0,large_humid_heat_uplift,192.35857716580608
Jakarta,28409,0.0,1.0,1.0,large_humid_heat_uplift,262.5190608609947
Shanghai,646,0.0,1.0,1.0,large_humid_heat_uplift,113.80495356037152
Sao Paulo,54637,0.0,1.0,1.0,large_humid_heat_uplift,106.28960228416642
Miami,11810,0.0,1.0,1.0,large_humid_heat_uplift,137.19940728196443
Lagos,4404,0.0,1.0,1.0,large_humid_heat_uplift,222.8823796548592
Istanbul,29769,0.0,0.984110987940475,0.984110987940475,large_humid_heat_uplift,22.69703382713561
Manila,28667,0.0385111801025569,1.0,0.9614888198974431,large_humid_heat_uplift,247.64342275089822
Tokyo,53775,0.054039981403998114,1.0,0.9459600185960019,large_humid_heat_uplift,80.536290097629
New York City,48455,0.0,0.28240635641316686,0.28240635641316686,large_humid_heat_uplift,17.866659787431637
Houston,23687,0.8721661670958754,1.0,0.12783383290412464,moderate_humid_heat_uplift,133.72322370920756
Karachi,4341,0.9103893112186131,1.0,0.0896106887813869,limited_humid_heat_uplift,175.9090071412117
Buenos Aires,15916,0.9315154561447598,1.0,0.06848454385524017,limited_humid_heat_uplift,51.825961296808245
Delhi,34305,1.0,1.0,0.0,limited_humid_heat_uplift,85.51750473691882
Kolkata,15475,1.0,1.0,0.0,limited_humid_heat_uplift,185.83638126009694
Johannesburg,14109,0.0,0.0,0.0,limited_humid_heat_uplift,13.381458643419094
Ho Chi Minh City,20411,1.0,1.0,0.0,limited_humid_heat_uplift,254.38802606437704
Dhaka,8954,1.0,1.0,0.0,limited_humid_heat_uplift,208.15937011391557
Bangkok,26279,1.0,1.0,0.0,limited_humid_heat_uplift,254.58788386163857
Bogota,10172,0.0,0.0,0.0,limited_humid_heat_uplift,0.0
Cairo,17912,1.0,1.0,0.0,limited_humid_heat_uplift,44.20355069227334
Lima,21027,0.0,0.0,0.0,limited_humid_heat_uplift,0.0
Mexico City,39680,0.0,0.0,0.0,limited_humid_heat_uplift,0.4541078629032258
Madrid,13336,1.0,1.0,0.0,limited_humid_heat_uplift,11.0
London,28222,0.0,0.0,0.0,limited_humid_heat_uplift,2.9005031535681383
Los Angeles,31998,0.0004375273454590228,0.0004375273454590228,0.0,limited_humid_heat_uplift,4.560410025626601
Rome,9167,0.8308061525035453,0.8308061525035453,0.0,limited_humid_heat_uplift,35.77015381258863
Paris,15781,0.0,0.0,0.0,limited_humid_heat_uplift,8.220074773461757
Nairobi,3473,0.0,0.0,0.0,limited_humid_heat_uplift,1.899222574143392
Rotterdam,5221,0.0,0.0,0.0,limited_humid_heat_uplift,1.524803677456426
