city,grdi_tercile,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Accra,high,health,639,0.0,0.0,0.0,0.0,760588.9890136719,0.008379555046036146,19.63538932800293
Accra,high,school,1073,0.0,0.007455731593662628,0.0,0.0,654247.550201416,0.010258334815741312,19.640640258789062
Accra,,health,11,0.0,0.0,0.0,0.0,327064.7212524414,0.008485766830187548,
Accra,,school,20,0.0,0.0,0.0,0.0,316474.18505477905,0.006841524720021366,
Bangkok,low,health,14077,0.9412516871492506,0.4207572636215103,1.0,0.9862896924060525,1106794.5620117188,0.18626160505861689,5.982968330383301
Bangkok,low,school,6459,0.9242916860195076,0.5613872116426691,1.0,0.9859111317541415,997397.6105957031,0.20200358055637258,5.982968330383301
Bangkok,middle,health,3660,0.6081967213114754,0.75,1.0,0.8404371584699454,528035.0208206177,0.2098345836835933,9.937145233154297
Bangkok,middle,school,2039,0.6150073565473271,0.8347229033840118,1.0,0.8984796468857283,495653.3741455078,0.21975304179398594,9.937145233154297
Bangkok,high,health,14,0.6428571428571429,1.0,1.0,1.0,72361.08640965197,0.21209270007543649,21.951693534851074
Bangkok,high,school,30,0.5666666666666667,0.9666666666666667,1.0,0.9666666666666667,74395.9264729172,0.23503742502212568,22.006603240966797
Bogota,middle,health,4888,0.0,0.011865793780687398,0.0,0.0,1385839.0205704654,0.0013406837796587647,11.956443786621094
Bogota,middle,school,3577,0.0,0.018730779983226167,0.0,0.0,1348752.3381195068,0.0023095698674717676,11.956443786621094
Bogota,high,health,1127,0.0,0.006211180124223602,0.0,0.0,1434236.9568230594,0.0007373711599680722,31.963550567626953
Bogota,high,school,579,0.0,0.031088082901554404,0.0,0.0,1319538.5958213806,0.005209557660783846,31.963550567626953
Bogota,,health,1,0.0,0.0,0.0,0.0,140795.69372257567,0.0,
Buenos Aires,low,health,52,0.0,0.5,0.0,0.0,799009.9055732489,0.05319069086455916,5.2067036628723145
Buenos Aires,low,school,49,0.0,0.32653061224489793,0.0,0.0,735941.153793335,0.0325389071672204,5.888997554779053
Buenos Aires,middle,health,1236,0.0,0.34951456310679613,0.0,0.0,595815.7296829224,0.048438942166704774,8.942485809326172
Buenos Aires,middle,school,1816,0.0,0.3849118942731278,0.0,0.0,558642.2456784248,0.052755837573609854,8.942485809326172
Buenos Aires,high,health,7167,0.0,0.07101995256034603,0.0,0.0,1052619.8786621094,0.018278274361433835,25.883588790893555
Buenos Aires,high,school,5596,0.0,0.11418870621872766,0.0,0.0,973851.7834121585,0.026342881679692218,26.618566513061523
Cairo,low,health,32,1.0,0.03125,1.0,1.0,4421383.316894531,0.28485943480046755,7.537136077880859
Cairo,low,school,26,1.0,0.07692307692307693,1.0,1.0,4445336.115234375,0.28702959486900254,7.537136077880859
Cairo,middle,health,1751,1.0,0.052541404911479156,1.0,1.0,745687.499786377,0.23066576746575948,14.990443229675293
Cairo,middle,school,700,1.0,0.1357142857142857,1.0,1.0,754498.4713487625,0.24447719669836487,15.874054908752441
Cairo,high,health,10898,1.0,0.09919251238759405,1.0,1.0,2586131.836654663,0.3548090232195387,34.06998062133789
Cairo,high,school,3813,1.0,0.11880409126671912,1.0,1.0,2325493.7352523804,0.3371673030689405,34.42657470703125
