city,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Cairo,17912,1.0,0.09652746761947298,1.0,1.0,1993533.8552246094,0.3260409193144193,33.59584045410156
Karachi,4341,0.8967979728173232,0.046993780234968904,0.9686708131766874,0.9087767795438839,2650909.755332947,0.31747270691845275,25.90498924255371
Delhi,34305,1.0,0.22617694213671477,1.0,1.0,1350900.9227905273,0.30071198334057575,33.23251724243164
Shanghai,646,0.9473684210526315,0.6191950464396285,0.9489164086687306,0.9922600619195047,2161317.0118408203,0.2527025872282622,17.329389572143555
Dhaka,8954,1.0,0.2547464820192093,1.0,1.0,3959074.150072528,0.24586740517651873,14.125593185424805
Bangkok,26279,0.864796986186689,0.5342288519350051,1.0,0.9590547585524564,930682.7041015625,0.19608193577667982,5.982968330383301
Madrid,13336,1.0,0.001274745050989802,1.0,1.0,830815.5778846741,0.18999070083075256,23.40478515625
Rome,9167,0.8210974146394676,0.09839642194829279,1.0,0.8323333696956474,501805.6894943714,0.15902015894449653,21.853899002075195
Manila,28667,0.8442808804548785,0.21271845676213066,0.0,0.17514912617295147,1871446.970703125,0.15299110783408978,13.050292015075684
Los Angeles,31998,0.22010750671916995,0.07497343583973998,0.999968748046753,0.29451840740046253,275575.9510079324,0.13422666228471947,7.841177463531494
Mexico City,39680,0.0,0.10020161290322581,1.0,0.10020161290322581,918349.5902099609,0.1311404634285178,9.094975471496582
Lima,21027,0.0,0.009368906643838874,0.9999524420982546,0.009368906643838874,987179.3274773152,0.1282372503832084,11.862144470214844
Johannesburg,14109,0.0,0.0,1.0,0.0,265090.8632583618,0.12329453214572889,49.286041259765625
Lagos,4404,0.005449591280653951,0.07811080835603997,0.6407811080835604,0.06017257039055404,1414742.7390887737,0.11047854545522966,40.22747039794922
Tokyo,53775,0.5852719665271967,0.1491213389121339,0.0,0.035146443514644354,904465.8969726562,0.10869340341107724,2.809330940246582
Istanbul,29769,0.0,0.00470287883368605,0.95088850817965,0.0036951190836104673,1087988.476196289,0.10791100310591331,8.573328018188477
Kolkata,15475,0.9217447495961227,0.2801292407108239,0.0,0.2782552504038772,1735750.6791381836,0.10707588160942826,15.391436576843262
Ho Chi Minh City,20411,0.8380775072264955,0.197393562294841,0.011513399637450395,0.17470971534956642,1842977.3678894043,0.09903210004589975,9.444036483764648
Houston,23687,0.5309241356018068,0.17980326761514756,0.0,0.09790180267657365,140932.71777534485,0.09261570321739465,21.014888763427734
Jakarta,28409,0.0,0.037734520750466405,0.9999647998873596,0.037734520750466405,1184749.8989257812,0.08424346142352084,11.140101432800293
London,28222,0.0,0.05761462688682588,0.9895825951385444,0.0574374601374814,531976.5013509989,0.08395122073561608,4.537949562072754
Sao Paulo,54637,0.0,0.01773523436499076,0.0,0.0,929612.7244262695,0.08361039556179085,27.400732040405273
New York City,48455,0.0,0.06368795789908162,0.4362810855432876,0.025157362501289856,850295.2853117648,0.06773677316204937,4.587876319885254
Rotterdam,5221,0.0,0.5050756560045968,0.002681478643937943,0.002681478643937943,198450.2980518341,0.059761283519483406,4.369521617889404
Miami,11810,0.0,0.04631668077900085,0.24377646062658764,0.029720575783234546,214932.12628701006,0.0526102845420129,5.475991725921631
Paris,15781,0.0,0.09422723528293518,0.0,0.0,987963.056394577,0.05204542458589892,4.798478126525879
Buenos Aires,15916,0.0,0.14582809751193768,0.0,0.0,908059.4130462408,0.02754778927845108,25.70619010925293
Nairobi,3473,0.0,0.0008638065073423554,0.0,0.0,910131.9244260788,0.026780078192115357,21.247148513793945
Accra,1743,0.0,0.004589787722317842,0.0,0.0,675230.6527099609,0.009519164005301214,19.640640258789062
Bogota,10172,0.0,0.014746362563900904,0.0,0.0,1380759.7459935346,0.0018346387056425893,11.956443786621094
